"tanggal","year","stasiun","pm10","so2","co","o3","no2","max","critical","categori","sum_partikulat"
"2013-03-12","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-03-13","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-03-14","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-03-15","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-03-16","2013","DKI1 (Bunderan HI)",61,4,29,76,10,76,"O3","SEDANG",180
"2013-03-17","2013","DKI1 (Bunderan HI)",58,1,31,76,10,76,"O3","SEDANG",176
"2013-03-18","2013","DKI1 (Bunderan HI)",47,2,24,55,11,55,"O3","SEDANG",139
"2013-03-19","2013","DKI1 (Bunderan HI)",63,3,37,101,21,101,"O3","TIDAK SEHAT",225
"2013-03-20","2013","DKI1 (Bunderan HI)",65,4,36,70,20,70,"O3","SEDANG",195
"2013-03-21","2013","DKI1 (Bunderan HI)",60,2,35,65,19,65,"O3","SEDANG",181
"2013-03-22","2013","DKI1 (Bunderan HI)",76,2,42,73,21,76,"PM10","SEDANG",214
"2013-03-23","2013","DKI1 (Bunderan HI)",64,2,30,58,14,64,"PM10","SEDANG",168
"2013-03-24","2013","DKI1 (Bunderan HI)",53,1,33,53,16,53,"PM10","SEDANG",156
"2013-03-25","2013","DKI1 (Bunderan HI)",55,2,18,63,19,63,"O3","SEDANG",157
"2013-03-26","2013","DKI1 (Bunderan HI)",71,3,35,49,21,71,"PM10","SEDANG",179
"2013-03-27","2013","DKI1 (Bunderan HI)",74,3,37,69,23,74,"PM10","SEDANG",206
"2013-03-28","2013","DKI1 (Bunderan HI)",89,3,53,108,26,108,"O3","TIDAK SEHAT",279
"2013-03-29","2013","DKI1 (Bunderan HI)",71,2,37,114,18,114,"O3","TIDAK SEHAT",242
"2013-03-30","2013","DKI1 (Bunderan HI)",54,2,18,37,10,54,"PM10","SEDANG",121
"2013-03-31","2013","DKI1 (Bunderan HI)",46,1,23,63,12,63,"O3","SEDANG",145
"2013-04-01","2013","DKI1 (Bunderan HI)",56,2,40,69,22,69,"O3","SEDANG",189
"2013-04-02","2013","DKI1 (Bunderan HI)",66,2,34,56,23,66,"PM10","SEDANG",181
"2013-04-03","2013","DKI1 (Bunderan HI)",71,2,43,111,27,111,"O3","TIDAK SEHAT",254
"2013-04-04","2013","DKI1 (Bunderan HI)",62,2,35,73,17,73,"O3","SEDANG",189
"2013-04-05","2013","DKI1 (Bunderan HI)",56,2,33,47,16,56,"PM10","SEDANG",154
"2013-04-06","2013","DKI1 (Bunderan HI)",51,1,23,89,16,89,"O3","SEDANG",180
"2013-04-07","2013","DKI1 (Bunderan HI)",47,2,23,57,11,57,"O3","SEDANG",140
"2013-04-08","2013","DKI1 (Bunderan HI)",56,2,42,66,25,66,"O3","SEDANG",191
"2013-04-09","2013","DKI1 (Bunderan HI)",56,2,37,94,23,94,"O3","SEDANG",212
"2013-04-10","2013","DKI1 (Bunderan HI)",61,2,28,47,14,61,"PM10","SEDANG",152
"2013-04-11","2013","DKI1 (Bunderan HI)",54,3,33,62,15,62,"O3","SEDANG",167
"2013-04-12","2013","DKI1 (Bunderan HI)",56,2,33,54,21,56,"PM10","SEDANG",166
"2013-04-13","2013","DKI1 (Bunderan HI)",34,1,22,27,8,34,"PM10","BAIK",92
"2013-04-14","2013","DKI1 (Bunderan HI)",34,1,15,44,7,44,"O3","BAIK",101
"2013-04-15","2013","DKI1 (Bunderan HI)",47,1,22,52,7,52,"O3","SEDANG",129
"2013-04-16","2013","DKI1 (Bunderan HI)",47,1,30,61,11,61,"O3","SEDANG",150
"2013-04-17","2013","DKI1 (Bunderan HI)",60,1,37,117,32,117,"O3","TIDAK SEHAT",247
"2013-04-18","2013","DKI1 (Bunderan HI)",49,1,31,121,22,121,"O3","TIDAK SEHAT",224
"2013-04-19","2013","DKI1 (Bunderan HI)",60,2,46,88,20,88,"O3","SEDANG",216
"2013-04-20","2013","DKI1 (Bunderan HI)",65,2,32,99,20,99,"O3","SEDANG",218
"2013-04-21","2013","DKI1 (Bunderan HI)",68,2,26,75,19,75,"O3","SEDANG",190
"2013-04-22","2013","DKI1 (Bunderan HI)",56,1,32,68,12,68,"O3","SEDANG",169
"2013-04-23","2013","DKI1 (Bunderan HI)",73,2,53,77,20,77,"O3","SEDANG",225
"2013-04-24","2013","DKI1 (Bunderan HI)",64,2,32,66,12,66,"O3","SEDANG",176
"2013-04-25","2013","DKI1 (Bunderan HI)",82,1,43,63,13,82,"PM10","SEDANG",202
"2013-04-26","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-04-27","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-04-28","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-04-29","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-04-30","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-05-01","2013","DKI1 (Bunderan HI)",70,2,16,62,12,70,"PM10","SEDANG",162
"2013-05-02","2013","DKI1 (Bunderan HI)",56,2,33,48,19,56,"PM10","SEDANG",158
"2013-05-03","2013","DKI1 (Bunderan HI)",71,3,27,54,12,71,"PM10","SEDANG",167
"2013-05-04","2013","DKI1 (Bunderan HI)",74,3,18,64,12,74,"PM10","SEDANG",171
"2013-05-05","2013","DKI1 (Bunderan HI)",72,1,15,61,12,72,"PM10","SEDANG",161
"2013-05-06","2013","DKI1 (Bunderan HI)",75,3,28,58,18,75,"PM10","SEDANG",182
"2013-05-07","2013","DKI1 (Bunderan HI)",81,1,28,53,16,81,"PM10","SEDANG",179
"2013-05-08","2013","DKI1 (Bunderan HI)",53,1,31,43,17,53,"PM10","SEDANG",145
"2013-05-09","2013","DKI1 (Bunderan HI)",62,2,28,55,16,62,"PM10","SEDANG",163
"2013-05-10","2013","DKI1 (Bunderan HI)",58,2,32,74,25,74,"O3","SEDANG",191
"2013-05-11","2013","DKI1 (Bunderan HI)",61,3,32,76,19,76,"O3","SEDANG",191
"2013-05-12","2013","DKI1 (Bunderan HI)",56,1,32,70,18,70,"O3","SEDANG",177
"2013-05-13","2013","DKI1 (Bunderan HI)",57,2,35,37,15,57,"PM10","SEDANG",146
"2013-05-14","2013","DKI1 (Bunderan HI)",74,3,45,57,22,74,"PM10","SEDANG",201
"2013-05-15","2013","DKI1 (Bunderan HI)",72,2,34,48,28,72,"PM10","SEDANG",184
"2013-05-16","2013","DKI1 (Bunderan HI)",57,2,33,45,28,57,"PM10","SEDANG",165
"2013-05-17","2013","DKI1 (Bunderan HI)",69,3,25,46,18,69,"PM10","SEDANG",161
"2013-05-18","2013","DKI1 (Bunderan HI)",66,3,29,72,21,72,"O3","SEDANG",191
"2013-05-19","2013","DKI1 (Bunderan HI)",73,3,30,63,28,73,"PM10","SEDANG",197
"2013-05-20","2013","DKI1 (Bunderan HI)",39,1,34,91,28,91,"O3","SEDANG",193
"2013-05-21","2013","DKI1 (Bunderan HI)",32,4,31,69,24,69,"O3","SEDANG",160
"2013-05-22","2013","DKI1 (Bunderan HI)",66,2,36,37,16,66,"PM10","SEDANG",157
"2013-05-23","2013","DKI1 (Bunderan HI)",59,3,45,83,24,83,"O3","SEDANG",214
"2013-05-24","2013","DKI1 (Bunderan HI)",63,2,30,78,24,78,"O3","SEDANG",197
"2013-05-25","2013","DKI1 (Bunderan HI)",77,2,24,68,25,77,"PM10","SEDANG",196
"2013-05-26","2013","DKI1 (Bunderan HI)",59,2,14,74,16,74,"O3","SEDANG",165
"2013-05-27","2013","DKI1 (Bunderan HI)",67,3,13,48,18,67,"PM10","SEDANG",149
"2013-05-28","2013","DKI1 (Bunderan HI)",58,3,10,51,17,58,"PM10","SEDANG",139
"2013-05-29","2013","DKI1 (Bunderan HI)",70,3,6,61,19,70,"PM10","SEDANG",159
"2013-05-30","2013","DKI1 (Bunderan HI)",56,3,24,50,22,56,"PM10","SEDANG",155
"2013-05-31","2013","DKI1 (Bunderan HI)",52,2,24,48,11,52,"PM10","SEDANG",137
"2013-06-01","2013","DKI1 (Bunderan HI)",50,2,20,24,11,50,"PM10","BAIK",107
"2013-06-02","2013","DKI1 (Bunderan HI)",56,3,33,4,14,56,"PM10","SEDANG",110
"2013-06-03","2013","DKI1 (Bunderan HI)",53,3,28,4,13,53,"PM10","SEDANG",101
"2013-06-04","2013","DKI1 (Bunderan HI)",47,2,31,3,11,47,"PM10","BAIK",94
"2013-06-05","2013","DKI1 (Bunderan HI)",55,2,42,4,18,55,"PM10","SEDANG",121
"2013-06-06","2013","DKI1 (Bunderan HI)",39,1,32,3,14,39,"PM10","BAIK",89
"2013-06-07","2013","DKI1 (Bunderan HI)",67,2,53,6,29,67,"PM10","SEDANG",157
"2013-06-08","2013","DKI1 (Bunderan HI)",86,4,46,6,21,86,"PM10","SEDANG",163
"2013-06-09","2013","DKI1 (Bunderan HI)",60,2,42,5,17,60,"PM10","SEDANG",126
"2013-06-10","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-06-11","2013","DKI1 (Bunderan HI)",66,2,35,5,19,66,"PM10","SEDANG",127
"2013-06-12","2013","DKI1 (Bunderan HI)",37,1,33,3,9,37,"PM10","BAIK",83
"2013-06-13","2013","DKI1 (Bunderan HI)",66,2,58,4,25,66,"PM10","SEDANG",155
"2013-06-14","2013","DKI1 (Bunderan HI)",56,4,51,41,13,56,"PM10","SEDANG",165
"2013-06-15","2013","DKI1 (Bunderan HI)",60,4,26,44,13,60,"PM10","SEDANG",147
"2013-06-16","2013","DKI1 (Bunderan HI)",83,2,71,94,21,94,"O3","SEDANG",271
"2013-06-17","2013","DKI1 (Bunderan HI)",71,3,53,69,19,71,"PM10","SEDANG",215
"2013-06-18","2013","DKI1 (Bunderan HI)",62,4,54,31,21,62,"PM10","SEDANG",172
"2013-06-19","2013","DKI1 (Bunderan HI)",54,5,33,35,15,54,"PM10","SEDANG",142
"2013-06-20","2013","DKI1 (Bunderan HI)",58,4,40,49,17,58,"PM10","SEDANG",168
"2013-06-21","2013","DKI1 (Bunderan HI)",71,4,53,66,30,71,"PM10","SEDANG",224
"2013-06-22","2013","DKI1 (Bunderan HI)",77,4,48,46,16,77,"PM10","SEDANG",191
"2013-06-23","2013","DKI1 (Bunderan HI)",61,5,34,63,11,63,"O3","SEDANG",174
"2013-06-24","2013","DKI1 (Bunderan HI)",67,5,36,100,18,100,"O3","SEDANG",226
"2013-06-25","2013","DKI1 (Bunderan HI)",77,5,36,104,21,104,"O3","TIDAK SEHAT",243
"2013-06-26","2013","DKI1 (Bunderan HI)",85,10,34,93,18,93,"O3","SEDANG",240
"2013-06-27","2013","DKI1 (Bunderan HI)",83,6,58,74,26,83,"PM10","SEDANG",247
"2013-06-28","2013","DKI1 (Bunderan HI)",58,11,38,46,19,58,"PM10","SEDANG",172
"2013-06-29","2013","DKI1 (Bunderan HI)",63,11,33,47,13,63,"PM10","SEDANG",167
"2013-06-30","2013","DKI1 (Bunderan HI)",62,8,35,39,12,62,"PM10","SEDANG",156
"2013-07-01","2013","DKI1 (Bunderan HI)",55,7,31,35,20,55,"PM10","SEDANG",148
"2013-07-02","2013","DKI1 (Bunderan HI)",67,8,43,58,21,67,"PM10","SEDANG",197
"2013-07-03","2013","DKI1 (Bunderan HI)",55,5,43,41,23,55,"PM10","SEDANG",167
"2013-07-04","2013","DKI1 (Bunderan HI)",57,7,51,23,22,57,"PM10","SEDANG",160
"2013-07-05","2013","DKI1 (Bunderan HI)",52,6,49,21,22,52,"PM10","SEDANG",150
"2013-07-06","2013","DKI1 (Bunderan HI)",58,8,46,37,15,58,"PM10","SEDANG",164
"2013-07-07","2013","DKI1 (Bunderan HI)",61,7,33,40,12,61,"PM10","SEDANG",153
"2013-07-08","2013","DKI1 (Bunderan HI)",74,13,38,67,17,74,"PM10","SEDANG",209
"2013-07-09","2013","DKI1 (Bunderan HI)",70,7,36,91,18,91,"O3","SEDANG",222
"2013-07-10","2013","DKI1 (Bunderan HI)",57,7,37,67,20,67,"O3","SEDANG",188
"2013-07-11","2013","DKI1 (Bunderan HI)",80,10,39,75,26,80,"PM10","SEDANG",230
"2013-07-12","2013","DKI1 (Bunderan HI)",60,6,45,58,21,60,"PM10","SEDANG",190
"2013-07-13","2013","DKI1 (Bunderan HI)",60,5,36,76,19,76,"O3","SEDANG",196
"2013-07-14","2013","DKI1 (Bunderan HI)",35,4,32,47,20,47,"O3","BAIK",138
"2013-07-15","2013","DKI1 (Bunderan HI)",65,8,46,59,19,65,"PM10","SEDANG",197
"2013-07-16","2013","DKI1 (Bunderan HI)",75,8,43,51,23,75,"PM10","SEDANG",200
"2013-07-17","2013","DKI1 (Bunderan HI)",68,6,43,88,25,88,"O3","SEDANG",230
"2013-07-18","2013","DKI1 (Bunderan HI)",75,7,45,59,20,75,"PM10","SEDANG",206
"2013-07-19","2013","DKI1 (Bunderan HI)",64,12,41,66,21,66,"O3","SEDANG",204
"2013-07-20","2013","DKI1 (Bunderan HI)",72,9,30,76,16,76,"O3","SEDANG",203
"2013-07-21","2013","DKI1 (Bunderan HI)",69,6,56,68,22,69,"PM10","SEDANG",221
"2013-07-22","2013","DKI1 (Bunderan HI)",56,4,40,52,19,56,"PM10","SEDANG",171
"2013-07-23","2013","DKI1 (Bunderan HI)",71,9,54,36,21,71,"PM10","SEDANG",191
"2013-07-24","2013","DKI1 (Bunderan HI)",58,8,31,57,17,58,"PM10","SEDANG",171
"2013-07-25","2013","DKI1 (Bunderan HI)",63,8,44,44,13,63,"PM10","SEDANG",172
"2013-07-26","2013","DKI1 (Bunderan HI)",52,7,23,38,8,52,"PM10","SEDANG",128
"2013-07-27","2013","DKI1 (Bunderan HI)",58,7,24,68,15,68,"O3","SEDANG",172
"2013-07-28","2013","DKI1 (Bunderan HI)",67,5,58,65,24,67,"PM10","SEDANG",219
"2013-07-29","2013","DKI1 (Bunderan HI)",70,9,35,77,19,77,"O3","SEDANG",210
"2013-07-30","2013","DKI1 (Bunderan HI)",62,8,35,56,20,62,"PM10","SEDANG",181
"2013-07-31","2013","DKI1 (Bunderan HI)",61,7,32,72,21,72,"O3","SEDANG",193
"2013-08-01","2013","DKI1 (Bunderan HI)",70,10,32,74,17,74,"O3","SEDANG",203
"2013-08-02","2013","DKI1 (Bunderan HI)",56,6,31,42,15,56,"PM10","SEDANG",150
"2013-08-03","2013","DKI1 (Bunderan HI)",57,8,30,49,16,57,"PM10","SEDANG",160
"2013-08-04","2013","DKI1 (Bunderan HI)",61,7,19,51,11,61,"PM10","SEDANG",149
"2013-08-05","2013","DKI1 (Bunderan HI)",65,6,33,50,27,65,"PM10","SEDANG",181
"2013-08-06","2013","DKI1 (Bunderan HI)",78,7,32,89,19,89,"O3","SEDANG",225
"2013-08-07","2013","DKI1 (Bunderan HI)",55,4,19,78,17,78,"O3","SEDANG",173
"2013-08-08","2013","DKI1 (Bunderan HI)",67,6,58,88,12,88,"O3","SEDANG",231
"2013-08-09","2013","DKI1 (Bunderan HI)",53,4,21,74,12,74,"O3","SEDANG",164
"2013-08-10","2013","DKI1 (Bunderan HI)",56,4,19,79,11,79,"O3","SEDANG",169
"2013-08-11","2013","DKI1 (Bunderan HI)",53,5,23,74,13,74,"O3","SEDANG",168
"2013-08-12","2013","DKI1 (Bunderan HI)",51,5,23,86,14,86,"O3","SEDANG",179
"2013-08-13","2013","DKI1 (Bunderan HI)",57,8,21,74,18,74,"O3","SEDANG",178
"2013-08-14","2013","DKI1 (Bunderan HI)",56,8,22,62,13,62,"O3","SEDANG",161
"2013-08-15","2013","DKI1 (Bunderan HI)",58,9,25,39,14,58,"PM10","SEDANG",145
"2013-08-16","2013","DKI1 (Bunderan HI)",57,9,23,68,10,68,"O3","SEDANG",167
"2013-08-17","2013","DKI1 (Bunderan HI)",55,6,18,65,10,65,"O3","SEDANG",154
"2013-08-18","2013","DKI1 (Bunderan HI)",50,4,25,77,12,77,"O3","SEDANG",168
"2013-08-19","2013","DKI1 (Bunderan HI)",54,7,26,66,14,66,"O3","SEDANG",167
"2013-08-20","2013","DKI1 (Bunderan HI)",58,9,27,66,19,66,"O3","SEDANG",179
"2013-08-21","2013","DKI1 (Bunderan HI)",67,9,30,72,19,72,"O3","SEDANG",197
"2013-08-22","2013","DKI1 (Bunderan HI)",69,8,27,63,14,69,"PM10","SEDANG",181
"2013-08-23","2013","DKI1 (Bunderan HI)",75,10,30,58,22,75,"PM10","SEDANG",195
"2013-08-24","2013","DKI1 (Bunderan HI)",69,9,26,58,19,69,"PM10","SEDANG",181
"2013-08-25","2013","DKI1 (Bunderan HI)",64,9,15,57,10,64,"PM10","SEDANG",155
"2013-08-26","2013","DKI1 (Bunderan HI)",62,9,25,48,12,62,"PM10","SEDANG",156
"2013-08-27","2013","DKI1 (Bunderan HI)",61,9,27,58,14,61,"PM10","SEDANG",169
"2013-08-28","2013","DKI1 (Bunderan HI)",68,8,28,72,23,72,"O3","SEDANG",199
"2013-08-29","2013","DKI1 (Bunderan HI)",63,9,27,49,12,63,"PM10","SEDANG",160
"2013-08-30","2013","DKI1 (Bunderan HI)",69,9,30,53,16,69,"PM10","SEDANG",177
"2013-08-31","2013","DKI1 (Bunderan HI)",58,6,28,49,15,58,"PM10","SEDANG",156
"2013-09-01","2013","DKI1 (Bunderan HI)",61,9,15,67,13,67,"O3","SEDANG",165
"2013-09-02","2013","DKI1 (Bunderan HI)",62,9,28,77,15,77,"O3","SEDANG",191
"2013-09-03","2013","DKI1 (Bunderan HI)",69,7,35,74,24,74,"O3","SEDANG",209
"2013-09-04","2013","DKI1 (Bunderan HI)",68,6,33,82,19,82,"O3","SEDANG",208
"2013-09-05","2013","DKI1 (Bunderan HI)",72,8,29,98,24,98,"O3","SEDANG",231
"2013-09-06","2013","DKI1 (Bunderan HI)",67,7,31,74,19,74,"O3","SEDANG",198
"2013-09-07","2013","DKI1 (Bunderan HI)",70,9,32,64,19,70,"PM10","SEDANG",194
"2013-09-08","2013","DKI1 (Bunderan HI)",62,5,26,72,14,72,"O3","SEDANG",179
"2013-09-09","2013","DKI1 (Bunderan HI)",68,7,34,68,20,68,"PM10","SEDANG",197
"2013-09-10","2013","DKI1 (Bunderan HI)",80,9,35,74,21,80,"PM10","SEDANG",219
"2013-09-11","2013","DKI1 (Bunderan HI)",66,10,33,57,18,66,"PM10","SEDANG",184
"2013-09-12","2013","DKI1 (Bunderan HI)",71,10,29,48,17,71,"PM10","SEDANG",175
"2013-09-13","2013","DKI1 (Bunderan HI)",73,8,32,66,22,73,"PM10","SEDANG",201
"2013-09-14","2013","DKI1 (Bunderan HI)",65,7,28,90,19,90,"O3","SEDANG",209
"2013-09-15","2013","DKI1 (Bunderan HI)",51,5,24,81,15,81,"O3","SEDANG",176
"2013-09-16","2013","DKI1 (Bunderan HI)",54,8,35,44,17,44,"O3","BAIK",158
"2013-09-17","2013","DKI1 (Bunderan HI)",54,9,34,81,26,81,"O3","SEDANG",204
"2013-09-18","2013","DKI1 (Bunderan HI)",64,7,30,62,17,64,"PM10","SEDANG",180
"2013-09-19","2013","DKI1 (Bunderan HI)",71,8,30,74,19,74,"O3","SEDANG",202
"2013-09-20","2013","DKI1 (Bunderan HI)",68,9,32,49,18,68,"PM10","SEDANG",176
"2013-09-21","2013","DKI1 (Bunderan HI)",62,7,25,94,19,94,"O3","SEDANG",207
"2013-09-22","2013","DKI1 (Bunderan HI)",65,6,33,89,16,89,"O3","SEDANG",209
"2013-09-23","2013","DKI1 (Bunderan HI)",66,8,30,71,27,71,"O3","SEDANG",202
"2013-09-24","2013","DKI1 (Bunderan HI)",64,9,27,48,22,64,"PM10","SEDANG",170
"2013-09-25","2013","DKI1 (Bunderan HI)",63,10,27,64,30,64,"O3","SEDANG",194
"2013-09-26","2013","DKI1 (Bunderan HI)",67,7,26,80,19,80,"O3","SEDANG",199
"2013-09-27","2013","DKI1 (Bunderan HI)",65,8,31,76,19,76,"O3","SEDANG",199
"2013-09-28","2013","DKI1 (Bunderan HI)",70,10,26,66,18,70,"PM10","SEDANG",190
"2013-09-29","2013","DKI1 (Bunderan HI)",72,11,26,69,12,72,"PM10","SEDANG",190
"2013-09-30","2013","DKI1 (Bunderan HI)",69,8,29,60,18,69,"PM10","SEDANG",184
"2013-10-01","2013","DKI1 (Bunderan HI)",85,10,33,79,23,85,"PM10","SEDANG",230
"2013-10-02","2013","DKI1 (Bunderan HI)",78,9,31,81,21,81,"O3","SEDANG",220
"2013-10-03","2013","DKI1 (Bunderan HI)",71,8,33,78,24,78,"O3","SEDANG",214
"2013-10-04","2013","DKI1 (Bunderan HI)",71,9,31,72,19,72,"O3","SEDANG",202
"2013-10-05","2013","DKI1 (Bunderan HI)",74,9,31,88,18,88,"O3","SEDANG",220
"2013-10-06","2013","DKI1 (Bunderan HI)",75,5,30,123,18,123,"O3","TIDAK SEHAT",251
"2013-10-07","2013","DKI1 (Bunderan HI)",67,8,31,80,17,80,"O3","SEDANG",203
"2013-10-08","2013","DKI1 (Bunderan HI)",72,10,32,58,22,72,"PM10","SEDANG",194
"2013-10-09","2013","DKI1 (Bunderan HI)",60,10,29,69,19,69,"O3","SEDANG",187
"2013-10-10","2013","DKI1 (Bunderan HI)",61,8,31,59,21,61,"PM10","SEDANG",180
"2013-10-11","2013","DKI1 (Bunderan HI)",64,9,30,84,21,84,"O3","SEDANG",208
"2013-10-12","2013","DKI1 (Bunderan HI)",62,10,29,94,18,94,"O3","SEDANG",213
"2013-10-13","2013","DKI1 (Bunderan HI)",59,5,20,76,14,76,"O3","SEDANG",174
"2013-10-14","2013","DKI1 (Bunderan HI)",60,6,30,66,15,66,"O3","SEDANG",177
"2013-10-15","2013","DKI1 (Bunderan HI)",56,6,18,57,11,57,"O3","SEDANG",148
"2013-10-16","2013","DKI1 (Bunderan HI)",65,9,25,49,14,65,"PM10","SEDANG",162
"2013-10-17","2013","DKI1 (Bunderan HI)",65,10,20,44,12,65,"PM10","SEDANG",151
"2013-10-18","2013","DKI1 (Bunderan HI)",59,9,23,48,10,59,"PM10","SEDANG",149
"2013-10-19","2013","DKI1 (Bunderan HI)",72,8,37,97,18,97,"O3","SEDANG",232
"2013-10-20","2013","DKI1 (Bunderan HI)",47,7,19,65,12,65,"O3","SEDANG",150
"2013-10-21","2013","DKI1 (Bunderan HI)",63,8,31,93,19,93,"O3","SEDANG",214
"2013-10-22","2013","DKI1 (Bunderan HI)",66,9,30,52,18,66,"PM10","SEDANG",175
"2013-10-23","2013","DKI1 (Bunderan HI)",66,8,33,60,25,66,"PM10","SEDANG",192
"2013-10-24","2013","DKI1 (Bunderan HI)",65,7,38,99,22,99,"O3","SEDANG",231
"2013-10-25","2013","DKI1 (Bunderan HI)",82,11,38,70,30,82,"PM10","SEDANG",231
"2013-10-26","2013","DKI1 (Bunderan HI)",78,9,35,70,18,78,"PM10","SEDANG",210
"2013-10-27","2013","DKI1 (Bunderan HI)",74,8,41,70,18,74,"PM10","SEDANG",211
"2013-10-28","2013","DKI1 (Bunderan HI)",58,9,30,52,15,58,"PM10","SEDANG",164
"2013-10-29","2013","DKI1 (Bunderan HI)",65,8,42,63,23,65,"PM10","SEDANG",201
"2013-10-30","2013","DKI1 (Bunderan HI)",69,7,59,81,24,81,"O3","SEDANG",240
"2013-10-31","2013","DKI1 (Bunderan HI)",76,8,38,81,20,81,"O3","SEDANG",223
"2013-11-01","2013","DKI1 (Bunderan HI)",69,8,34,84,22,84,"O3","SEDANG",217
"2013-11-02","2013","DKI1 (Bunderan HI)",59,8,44,74,23,74,"O3","SEDANG",208
"2013-11-03","2013","DKI1 (Bunderan HI)",54,9,28,76,13,76,"O3","SEDANG",180
"2013-11-04","2013","DKI1 (Bunderan HI)",66,8,30,83,21,83,"O3","SEDANG",208
"2013-11-05","2013","DKI1 (Bunderan HI)",71,8,31,89,18,89,"O3","SEDANG",217
"2013-11-06","2013","DKI1 (Bunderan HI)",74,7,32,99,19,99,"O3","SEDANG",231
"2013-11-07","2013","DKI1 (Bunderan HI)",75,10,36,85,28,85,"O3","SEDANG",234
"2013-11-08","2013","DKI1 (Bunderan HI)",75,9,35,84,25,84,"O3","SEDANG",228
"2013-11-09","2013","DKI1 (Bunderan HI)",59,8,49,43,19,59,"PM10","SEDANG",178
"2013-11-10","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-11-11","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-11-12","2013","DKI1 (Bunderan HI)",75,10,42,69,21,75,"PM10","SEDANG",217
"2013-11-13","2013","DKI1 (Bunderan HI)",60,5,37,87,19,87,"O3","SEDANG",208
"2013-11-14","2013","DKI1 (Bunderan HI)",68,6,60,114,20,114,"O3","TIDAK SEHAT",268
"2013-11-15","2013","DKI1 (Bunderan HI)",62,8,33,98,18,98,"O3","SEDANG",219
"2013-11-16","2013","DKI1 (Bunderan HI)",58,9,33,56,16,58,"PM10","SEDANG",172
"2013-11-17","2013","DKI1 (Bunderan HI)",49,5,32,58,13,58,"O3","SEDANG",157
"2013-11-18","2013","DKI1 (Bunderan HI)",48,7,29,43,12,48,"PM10","BAIK",139
"2013-11-19","2013","DKI1 (Bunderan HI)",48,8,26,29,9,48,"PM10","BAIK",120
"2013-11-20","2013","DKI1 (Bunderan HI)",39,8,21,19,9,39,"PM10","BAIK",96
"2013-11-21","2013","DKI1 (Bunderan HI)",51,9,28,37,16,51,"PM10","SEDANG",141
"2013-11-22","2013","DKI1 (Bunderan HI)",58,11,26,46,13,58,"PM10","SEDANG",154
"2013-11-23","2013","DKI1 (Bunderan HI)",59,13,27,59,17,59,"PM10","SEDANG",175
"2013-11-24","2013","DKI1 (Bunderan HI)",62,7,20,67,14,67,"O3","SEDANG",170
"2013-11-25","2013","DKI1 (Bunderan HI)",55,10,27,78,12,78,"O3","SEDANG",182
"2013-11-26","2013","DKI1 (Bunderan HI)",63,12,27,33,17,63,"PM10","SEDANG",152
"2013-11-27","2013","DKI1 (Bunderan HI)",58,10,35,65,20,65,"O3","SEDANG",188
"2013-11-28","2013","DKI1 (Bunderan HI)",80,13,32,67,18,80,"PM10","SEDANG",210
"2013-11-29","2013","DKI1 (Bunderan HI)",52,8,28,71,15,71,"O3","SEDANG",174
"2013-11-30","2013","DKI1 (Bunderan HI)",61,9,31,100,24,100,"O3","SEDANG",225
"2013-12-01","2013","DKI1 (Bunderan HI)",61,6,19,83,16,83,"O3","SEDANG",185
"2013-12-02","2013","DKI1 (Bunderan HI)",72,7,32,93,19,93,"O3","SEDANG",223
"2013-12-03","2013","DKI1 (Bunderan HI)",75,5,37,106,18,106,"O3","TIDAK SEHAT",241
"2013-12-04","2013","DKI1 (Bunderan HI)",72,7,38,83,15,83,"O3","SEDANG",215
"2013-12-05","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-12-06","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
"2013-12-07","2013","DKI1 (Bunderan HI)",54,17,24,46,14,0,"TIDAK ADA DATA","TIDAK ADA DATA",155
