"tanggal","year","stasiun","pm10","so2","co","o3","no2","max","critical","categori","sum_partikulat"
"2011-06-24","2011","DKI1 (Bunderan HI)",67,14,29,67,16,67,"PM10","SEDANG",193
"2011-06-25","2011","DKI1 (Bunderan HI)",66,11,27,51,13,66,"PM10","SEDANG",168
"2011-06-26","2011","DKI1 (Bunderan HI)",60,12,18,46,12,60,"PM10","SEDANG",148
"2011-06-27","2011","DKI1 (Bunderan HI)",56,12,23,38,14,56,"PM10","SEDANG",143
"2011-06-28","2011","DKI1 (Bunderan HI)",59,10,28,76,18,76,"O3","SEDANG",191
"2011-06-29","2011","DKI1 (Bunderan HI)",53,14,27,78,20,78,"O3","SEDANG",192
"2011-06-30","2011","DKI1 (Bunderan HI)",52,12,33,99,21,99,"O3","SEDANG",217
"2011-07-01","2011","DKI1 (Bunderan HI)",59,14,33,65,19,65,"O3","SEDANG",190
"2011-07-02","2011","DKI1 (Bunderan HI)",63,17,34,51,18,63,"PM10","SEDANG",183
"2011-07-03","2011","DKI1 (Bunderan HI)",56,14,20,46,14,56,"PM10","SEDANG",150
"2011-07-04","2011","DKI1 (Bunderan HI)",54,13,24,55,15,55,"O3","SEDANG",161
"2011-07-05","2011","DKI1 (Bunderan HI)",66,14,29,78,17,78,"O3","SEDANG",204
"2011-07-06","2011","DKI1 (Bunderan HI)",54,13,27,46,17,54,"PM10","SEDANG",157
"2011-07-07","2011","DKI1 (Bunderan HI)",59,18,27,62,14,62,"O3","SEDANG",180
"2011-07-08","2011","DKI1 (Bunderan HI)",63,19,25,42,12,63,"PM10","SEDANG",161
"2011-07-09","2011","DKI1 (Bunderan HI)",54,16,21,54,10,54,"PM10","SEDANG",155
"2011-07-10","2011","DKI1 (Bunderan HI)",51,15,18,57,12,57,"O3","SEDANG",153
"2011-07-11","2011","DKI1 (Bunderan HI)",54,13,27,55,13,55,"O3","SEDANG",162
"2011-07-12","2011","DKI1 (Bunderan HI)",60,20,30,50,17,60,"PM10","SEDANG",177
"2011-07-13","2011","DKI1 (Bunderan HI)",58,17,28,44,13,58,"PM10","SEDANG",160
"2011-07-14","2011","DKI1 (Bunderan HI)",57,14,27,81,17,81,"O3","SEDANG",196
"2011-07-15","2011","DKI1 (Bunderan HI)",63,14,30,123,19,123,"O3","TIDAK SEHAT",249
"2011-07-16","2011","DKI1 (Bunderan HI)",62,14,29,75,18,75,"O3","SEDANG",198
"2011-07-17","2011","DKI1 (Bunderan HI)",61,17,31,48,16,61,"PM10","SEDANG",173
"2011-07-18","2011","DKI1 (Bunderan HI)",62,18,35,84,26,84,"O3","SEDANG",225
"2011-07-19","2011","DKI1 (Bunderan HI)",62,18,32,60,16,62,"PM10","SEDANG",188
"2011-07-20","2011","DKI1 (Bunderan HI)",52,16,26,42,13,52,"PM10","SEDANG",149
"2011-07-21","2011","DKI1 (Bunderan HI)",53,17,23,36,11,53,"PM10","SEDANG",140
"2011-07-22","2011","DKI1 (Bunderan HI)",55,22,23,31,10,55,"PM10","SEDANG",141
"2011-07-23","2011","DKI1 (Bunderan HI)",62,19,30,34,13,62,"PM10","SEDANG",158
"2011-07-24","2011","DKI1 (Bunderan HI)",55,16,19,75,14,75,"O3","SEDANG",179
"2011-07-25","2011","DKI1 (Bunderan HI)",51,13,30,87,22,87,"O3","SEDANG",203
"2011-07-26","2011","DKI1 (Bunderan HI)",65,17,32,55,18,65,"PM10","SEDANG",187
"2011-07-27","2011","DKI1 (Bunderan HI)",59,12,25,75,18,75,"O3","SEDANG",189
"2011-07-28","2011","DKI1 (Bunderan HI)",61,7,29,81,16,81,"O3","SEDANG",194
"2011-07-29","2011","DKI1 (Bunderan HI)",53,16,27,80,18,80,"O3","SEDANG",194
"2011-07-30","2011","DKI1 (Bunderan HI)",64,15,27,78,20,78,"O3","SEDANG",204
"2011-07-31","2011","DKI1 (Bunderan HI)",57,14,20,54,19,57,"PM10","SEDANG",164
"2011-08-01","2011","DKI1 (Bunderan HI)",57,16,23,47,16,57,"PM10","SEDANG",159
"2011-08-02","2011","DKI1 (Bunderan HI)",56,14,25,53,15,56,"PM10","SEDANG",163
